,composition,Eg (eV)
2743,GeAs2,1.06
276,RbBiSe2,0.9
3179,CdIn2S4,2.2
1241,TlSe,0.96
1626,CsLuCoS3,1.18
3786,Na2BaGeSe4,2.25
1752,Ag3AsSe3,1.86
1164,CuGa1.6In0.4S3.5,2.15
3286,GeP,0.95
3854,GeSe,1.17
10,InSb,0.22
3046,ErIn3S6,1.28
3317,RbSbS2,1.96
1729,Cd4YB3O10,3.78
351,Ru2Ge3,0.34
1453,GeSn,0.8
373,LiInTe2,1.46
3400,CuInSe2,0.95
3887,ZnS,3.6
1301,Cu2Se,1.1
940,VO2,0.4
2497,CsYbZnSe3,1.97
29,Pb0.97Sn0.03Te,0.3
2658,Er2Mo3O12,1.04
2504,RbMn4In5Se12,1.76
2668,Cu2ZnGeS4,2.1
2173,Mn2.04Gd1.47In0.49S5,1.75
3606,Pb0.99Sn0.01Se,0.17
2364,CdS,2.41
945,In0.99As0.99Cd0.01Te0.01,0.76
1557,SbSeI,1.68
180,TlInSe2,1.44
13,PrTe2,1.02
2291,ZnO,3.48
2893,Ca3B2N4,3.9
1897,FeIn2Se4,1.15
2931,PbGa2SiSe6,2.17
1654,CdP4,1.15
2342,NaAlGeS4,3.6
3026,PbS,0.29
3853,GaTe,1.8
1276,Cs2SnP2Se6,2.06
1623,Cu3TbTe3,0.46
1153,Pb2BO3Cl,3.99
1921,Tl3CuNb2Se12,0.8
244,InSb0.3As0.7,0.11
3198,Pb0.8Sn0.2Se,0.06
2567,AgGaS2,2.62
325,Sr2Bi5.42La2.58S14,1.0
585,In0.7Al0.3P,1.9
98,SnSe,1.2
2213,Li6Al2Te8O22,3.63
420,CdGeAs2,0.61
3135,Pb3Br2Se2O6,3.73
284,Nb2O5,3.08
21,CdS,2.5
1026,InN,2.21
944,Ga0.6In0.4As,0.81
3117,Ba3Ho2P4S16,3.3
2797,BiI3,1.93
1283,CdIn8Te13,1.02
1655,PrIn3S6,1.14
2103,Pb0.999Sn0.001Te,0.23
3549,GaS,2.62
210,Cs3Bi,0.55
1341,Zn3As2,0.96
1132,K2CuVS4,1.82
605,EuSe,3.1
2012,ZnIn2Se4,1.82
2037,GeS,1.59
1387,ZnTe,2.37
3739,AlP,2.52
973,Tl2S,1.0
3527,K2CsSb,1.0
1957,Gd2S3,2.55
1549,ZnSb,1.05
150,Cd4P2I3,2.17
3744,SnGe,0.8
3692,AlP,2.42
826,As2Te3,1.75
3552,GaSe,2.07
1273,Ag2HgI4,2.47
3769,InSb0.2As0.8,0.12
2657,Sb2Te3,0.21
130,NbSe2,1.4
1349,Na3ZnB5O10,3.2
970,Zn3B2O6,2.6
33,Gd1.05Sc0.95Se3,1.2
3689,Cs39Cl6Ga53Se96,2.74
166,SnS0.8Se0.2,1.03
1000,CsAsSe2,2.0
1090,AgNb2PS10,1.78
1305,Sm2Sc3,2.3
1550,Rb2AgPS4,2.6
770,Mn3Ta2O8,1.89
2608,LiZnN,1.91
252,Cd4V3Te3O15,2.66
2952,PbTe,0.19
896,Cu0.4Ga1.6S2.6,2.45
3872,Sb2S3,1.63
1099,LiGaTe2,2.31
834,ZnSe,2.71
3324,Hg3Te2Bi2Cl8,2.8
3233,InP,1.41
1202,Zn3V2TeO10,2.96
2980,Cu0.01In1.99Se2.99,1.45
3539,CoSb2,0.17
768,Nd2Te3,1.12
3611,Bi2Te2.7Se0.3,0.21
2023,LaVI5O16,3.58
1374,TlCuCl3,2.98
649,Bi3Se2NO11,3.59
2257,Na2CdGe2S6,3.21
3738,TlHg6Se4Br5,2.8
1493,AgScO2,3.8
65,InSb,0.24
2646,KRbBi8Se13,0.64
1625,La2Ga2GeS8,2.78
3421,Ba2InSmTe5,1.36
2379,InSe,1.17
3081,Sm3Al0.33SiS7,2.26
312,P2Se5,2.2
1761,TlGaTe2,1.8
1879,In0.9Al0.1P,1.5
380,K6Nb2.97Ta1.03S25,2.01
757,Tb2Mo3O12,1.6
19,Rb7Th2P6Se21,2.07
3538,As2Se3,1.77
776,Rb2Cu2Sn2S6,1.44
971,CuGaSe2,1.71
50,Pb0.92Sn0.08Se,0.06
1647,RbNb4Br11,0.46
2235,Cd4As2Br3,1.93
1127,As2S3,2.06
1251,Cu0.5In1.5Se2.5,1.24
1303,KSbSe2,1.65
3780,TiTlSe2,0.56
1494,ZnIn2S4,2.86
2517,GaTe,1.5
1710,Hg2Cl2,3.5
3727,GaSb,0.72
3745,Hg0.9Cd0.1Se,1.5
3043,Ga2Te3,1.5
2156,K8Al8Si38,1.4
3503,ZnGeAs2,1.16
1092,Sm3S3BO3,2.5
377,GaN,3.5
468,CdGeP2,1.65
3144,Li2Ga2GeS6,3.65
2928,SnBr2,3.5
