,composition,Eg (eV)
240,K3B6O10Cl,6.89
619,MgO,7.78
728,KTi2F7,6.4
354,LiTaO3,4.1
1458,MnF2,9.9
2055,KSbS2O8,4.64
2766,Rb3NaMo2O8,4.84
2414,LiIO3,4.37
536,LiCdBO3,4.28
1690,BP,4.2
396,KH2PO4,7.0
1618,AlN,6.03
2681,Pb2GeSe4O12,4.1
3001,RbI,5.83
27,CsH3Se2O6,4.77
607,CaO,7.09
3379,Lu2O3,5.5
2151,NaI,6.0
3248,La2O3,5.4
1264,Ga2O3,4.54
886,Ba2Ca2B4O10,5.6
3628,Li3Cs2B5O10,7.3
495,ZrO2,4.99
2877,Sr3Se3O8Cl,4.4
3513,CaTe,4.07
2258,NH6PO4,6.8
2700,NaI,5.89
890,GaHSeO4,5.51
3626,LiH3Se2O6,4.9
2663,Ba3ZnTa2O9,4.32
293,AlN,5.9
434,CdIO4H,4.35
1266,NdB6,4.9
2372,SrSe,4.42
1080,MgO,7.7
2060,ZnI2,4.53
2756,AlN,6.28
195,NaBr,7.03
1842,LiI,6.0
404,KI,6.31
2939,SrS,4.76
2803,BaB2O4,6.7
1417,LiGaS2,4.15
1178,CaO,7.03
2866,MnI2,4.04
2585,BaF2,9.06
2871,Ga2Te3O9,4.14
1915,LiCsCO3,6.19
927,NaI,6.75
1087,KIO3,4.02
