name,CAS,LF,Standard,Dyetype,class,properties
"Name:C.I.Acid Red 92,C.I. 45410",CAS Registry Number:18472-87-2,3,AATCC,AcidDye,Molecular Structure:  Xanthene,"Properties and Applications: brilliant pink. Soluble in water for red light blue, with weak dark green fluorescent, soluble in ethanol for blue light red, with a brick red fluorescence. In concentrated sulfuric acid for yellow, diluted into yellow red precipitation."
"Name:C.I.Acid Brown 32,C.I. 23000",CAS Registry Number:6375-57-1,4,ISO,AcidDye,Molecular Structure:  Double azo,"Properties and Applications: red light brown. Soluble in water for orange brown, slightly soluble in ethanol for orange red. In concentrated sulfuric acid for jujube red, dilution after brown orange. In aqueous solution to join concentrated hydrochloric acid for orange brown; Join concentrated sodium hydroxide solution for orange brown."
"Name:C.I.Acid Black 242,C.I.30028",CAS Registry Number:152521-111-4,4,ISO,AcidDye,Molecular Structure:  trisazo class,Properties and Applications: black. Mainly used for Fur shading.
"Name:C.I.Acid Black 241,C.I.30024",CAS Registry Number:84170-03-6,4-5,ISO,AcidDye,Molecular Structure:  trisazo class,Properties and Applications: black. Mainly used for leather color.
Name:C.I.Acid Black 237,,4-5,ISO,AcidDye,"Molecular Structure:  azo,1:2 Metal Complexes",Properties and Applications: green light grey. Mainly used for wool dyeing and printing.
"Name:C.I.Acid Black 232,C.I.30334",,4,ISO,AcidDye,Molecular Structure:  trisazo class,Properties and Applications: black. Mainly used for the polyamide fiber dyeing and printing
Name:C.I.Acid Black 220,CAS Registry Number:152287-07-5,4,ISO,AcidDye,"Molecular Structure:  azo,Metal Complexes",Properties and Applications: Grey
Name:C.I.Acid Black 207,,4-5,ISO,AcidDye,"Molecular Structure:  azo,1:2 Metal Complexes",Properties and Applications: blue ash.
Name:C.I.Acid Black 194,CAS Registry Number:61931-02-0,3-4,ISO,AcidDye,"Molecular Structure:  Single azo,calcium complex","Properties and Applications: ash to red and black. Dark brown powder, soluble in water. Used for wool, polyamide fiber, silk and their blended fabric dyeing and printing. Nylon fabric in good dye deep performance. Also can be used for leather color."
"Name:C.I.Acid Black 180,C.I.13710",CAS Registry Number:11103-91-6,4,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes",Properties and Applications:  blue ash
"Name:C.I.Acid Black 172,C.I.15711:1",CAS Registry Number:61847-77-6,4-5,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: black. Dark brown powder, soluble in water. Used for wool, polyamide fiber, silk and their blended fabric dyeing and printing directly, also can used for leather dyeing."
Name:C.I.Acid Black 170,CAS Registry Number:12219-14-6,5,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: Deep gray. Black powder. Used for wool, silk, tussah, polyamide fiber, cotton, wool/peacekeeping/stick fabric dyeing and printing, also can be used for leather dyeing, sunlight and soaping fastness is good."
"Name:C.I.Acid Black 124,C.I.15900",CAS Registry Number:6408-12-4,4-5,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: blue ash. Soluble in water for blue-ray gray, soluble in ethanol for green light gray. The strong sulfuric acid in turquoise, diluted for purple. In water solution to join hydrochloric acid into green gray; Add sodium hydroxide for blue gray."
