0,SMILES
128-79-0,O=C(Nc1ccc(Nc2ccc(NC(=O)c3ccccc3)c4C(=O)c5ccccc5C(=O)c24)c6C(=O)c7ccccc7C(=O)c16)c8ccccc8
23594-58-3,[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)Oc1c2ccccc2c(O[S]([O-])(=O)=O)c3c(Nc4ccc5c(c4)C(=O)c6ccc7c8ccc9c(O[S]([O-])(=O)=O)c%10ccccc%10c(O[S]([O-])(=O)=O)c9c8Nc%11ccc5c6c7%11)cccc13
34599-04-7,[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)OC1=CC=C2C=C3C(=CC=C4C3=Nc5c(O[S]([O-])(=O)=O)cc6c7cc(O[S]([O-])(=O)=O)c8C9N=C%10c%11ccccc%11C=C%12C=C(O[S]([O-])(=O)=O)C(=C%13C=Nc(cc6c45)c7c8%13)C9=C%10%12)C=C2C1
2278-50-4,O=C1c2ccccc2C(=O)c3c4[nH]c5ccc6c7ccc8n9nc%10c%11ccccc%11C(=O)c%12ccc(c%13ccc(C(=O)c6c5c4ccc13)c7c8%13)c9c%10%12
10169-52-5,[Na+].[Na+].[O-][S](=O)(=O)Oc1c([nH]c2ccccc12)c3sc4c(ccc5cccc(Cl)c45)c3O[S]([O-])(=O)=O
10134-35-7,[Na+].[Na+].[O-][S](=O)(=O)Oc1c([nH]c2ccc(Br)cc12)c3sc4c(ccc5cccc(Cl)c45)c3O[S]([O-])(=O)=O
3687-67-0,Clc1cccc2ccc3C(=O)\C(Sc3c12)=C\4Nc5ccc(Br)cc5C4=O
6424-51-7,Clc1ccc2c(c1)C(=O)C3=CC=CC4=C5C6=C7C(=CC=CC7=C5C2=C34)C(=O)c8cc(Cl)ccc68
2475-33-4,O=C1c2ccccc2C(=O)c3c4[nH]c5c6C(=O)c7ccccc7C(=O)c6c8[nH]c9c(ccc%10C(=O)c%11ccccc%11C(=O)c9%10)c8c5c4ccc13
6424-67-5,Clc1cc(Cl)c2NC(/C(=O)c2c1)=C/3Sc4ccc5ccccc5c4C3=O
6486-67-5,ClC1=C(Nc2ccccc2)C(=O)C3=C(Nc4ccccc4S3)C1=O
6451-09-8,O=C1c2cc(ccc2Nc3c1ccc4C(=O)c5ccccc5C(=O)c34)c6ccc7nc8cccc9C(=O)c%10ccccc%10c(c7c6)c89
6247-46-7,COc1ccc(NC(=O)c2ccccc2)c3C(=O)c4ccc5c([nH]c6c5cc(NC(=O)c7ccccc7)c8C(=O)c9ccccc9C(=O)c68)c4C(=O)c13
6487-07-6,O=C(Nc1cc2c([nH]c3c2ccc4C(=O)c5c6[nH]c7c(cc(NC(=O)c8ccccc8)c9C(=O)c%10ccccc%10C(=O)c79)c6ccc5C(=O)c34)c%11C(=O)c%12ccccc%12C(=O)c1%11)c%13ccccc%13
4425-36-9,[Na+].[Na+].[O-][S](=O)(=O)Oc1c(sc2ccc3ccccc3c12)c4sc5ccc6ccccc6c5c4O[S]([O-])(=O)=O
3989-75-1,O=C1\C(Sc2ccc3ccccc3c12)=C\4Sc5ccc6ccccc6c5C4=O
131-92-0,O=C(Nc1cccc2C(=O)c3c4[nH]c5c(cc(NC(=O)c6ccccc6)c7C(=O)c8ccccc8C(=O)c57)c4ccc3C(=O)c12)c9ccccc9
23725-15-7,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)Oc1c2ccccc2c(O[S]([O-])(=O)=O)c3c1ccc4c3N=C5c6c(O[S]([O-])(=O)=O)c7ccccc7c(O[S]([O-])(=O)=O)c6C8=Nc9c(ccc%10c(O[S]([O-])(=O)=O)c%11ccccc%11c(O[S]([O-])(=O)=O)c9%10)C8=C45
6054-59-7,CCOc1ccc(cc1)\C=N/NC(=O)C2CN(C(=O)C2)c3ccc(Br)cc3
6369-65-9,[O-][N+](=O)c1ccc2c(c1)C(=O)c3ccc4c5ccc6C(=O)c7cc(ccc7c8ccc(c9ccc2c3c49)c5c68)[N+]([O-])=O
6472-75-9,CCOc1cc2c3ccccc3C(=O)c4ccc5c6ccc7C(=O)c8ccccc8c9cc(OCC)c(c1c5c24)c6c79
4471-37-8,[Na+].[Na+].[O-][S](=O)(=O)Oc1c2ccccc2c(O[S]([O-])(=O)=O)c3c4Nc5ccc6c7ccccc7C(=O)c8ccc(c4ccc13)c5c68
3271-76-9,O=C1c2ccccc2C(=O)c3c4Nc5ccc6c7ccccc7C(=O)c8ccc(c4ccc13)c5c68
25704-81-8,COc1cc2c3ccccc3C(=O)c4cc(Br)c5c6ccc7C(=O)c8ccccc8c9c(Br)c(OC)c(c1c5c24)c6c79
