SMILES,Tag,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),abs FWHM (cm-1),emi FWHM (cm-1),abs FWHM (nm),emi FWHM (nm),Molecular weight (g mol-1),Reference,identifier,vie,aie,vea,aea,hl,s0s1,s0t1,hr,cr2,cr1,er,ar1,ar2,lumo,homo
c1ccc(-c2nn(-c3ccccc3)c3nc4ccccc4cc23)cc1,5245.0,C1CCCCC1,401.4452027,443.6557232,17.9,0.86,3.819543936,,,55.8,52.6,321.3821,http://dx.doi.org/10.1016/j.dyepig.2015.09.016,csd_IZOXUS,7.131050505,7.043577011,-0.887147968,-1.027934581,5.85589328,3.0428,2.147,0.18374906,0.096275566,0.087473494,0.274055261,0.140786613,0.133268648,-1.11022512,-6.9661184
C#Cc1ccc(C#Cc2cnc(C#Cc3ccccc3)nc2)cc1,8111.0,C1CCCCC1,325.0,415.0,1.1,0.0015,4.72427587,,,61.4,102.6,304.35128,10.1021/jo048914h,csd_HAKMIQ,7.506350814,7.38547685,-1.271112386,-1.399121098,5.856709622,3.1233,2.2613,0.248424,0.127550036,0.120873964,0.258214934,0.128008711,0.130206222,-1.443020542,-7.299730164
O=c1c2ccccc2[nH]c2ccccc12,8602.0,CS(C)=O,398.0,408.0,9.1,0.75,3.995635195,,,36.1,38.7,195.22046,https://doi.org/10.1016/j.dyepig.2019.03.028,csd_HIBXOF,7.547571677,7.503940075,-0.147961933,-0.252048259,6.543253244,3.3702,2.7631,0.087676655,0.044045052,0.043631602,0.20771082,0.104086326,0.103624494,-0.571167286,-7.11442053
c1ccc2c(c1)ccc1ccc3ccc4ccccc4c3c12,2109.0,ClC(Cl)Cl,393.0,424.0,26.0,0.04,2.301029996,,,34.5,47.5,278.35316,DOI: 10.1021/acs.orglett.7b00548,csd_DBPHEN04,7.433381105,7.304172561,-0.160501436,-0.322433212,7.298369594,3.5825,2.391,0.264747792,0.135539249,0.129208544,0.324875816,0.161931776,0.16294404,-0.138506026,-7.43687562
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,4771.0,ClCCl,438.0,448.0,4.7,0.97,4.505149978,,,42.0,48.0,252.31528,http://dx.doi.org/10.1016/j.tet.2013.01.037,csd_GAJRUG,6.772870629,6.697524766,-0.821782266,-0.910443974,5.430579098,2.921,1.5752,0.150889907,0.075544044,0.075345863,0.176430826,0.088661707,0.087769119,-1.070496476,-6.501075574
O=c1c2ccccc2c2c3c(cccc13)c(-c1ccccc1)c1c3cccc4cccc(c43)c12,13975.0,CO,461.0,562.0,9.4,0.97,3.77815125,,,79.2,91.8,430.50492,https://doi.org/10.1016/j.tet.2011.07.018,csd_BUDXOP,7.024204127,6.950559738,-1.371268162,-1.483073546,5.483641328,2.8411,1.8604,0.159160295,0.085515906,0.073644389,0.221360657,0.111805384,0.109555273,-1.466422346,-6.950063674
O=c1oc2ccccc2cc1-c1nc2ccccc2o1,10437.0,CC1CCCCC1,356.0,438.0,3.17,0.94,4.36,,,76.7,77.4,263.25146,https://doi.org/10.1016/S1386-1425(02)00164-6,csd_UGUHIN,7.831287965,7.679657717,-1.165653055,-1.345182008,6.063244148,3.4313,2.2318,0.310857401,0.159227153,0.151630247,0.354366171,0.179528953,0.174837218,-1.453360874,-7.516605022
c1csc(-c2ccc(-c3cccs3)c3nsnc23)c1,5374.0,ClC(Cl)Cl,445.0,565.0,10.24,0.59,3.903957709,,,93.1,93.1,300.42952,https://doi.org/10.1016/j.jphotochem.2012.01.011,csd_WULLIA04,7.04647693,6.889370551,-1.299843407,-1.407292246,5.186764954,2.5323,1.5001,0.316711036,0.159604657,0.157106378,0.214789376,0.107448839,0.107340537,-1.600302434,-6.787067388
c1ccc(-c2nn(-c3ccccn3)c3nc4ccccc4cc23)cc1,3916.0,C1CCCCC1,385.0,421.0,2.16,0.18,3.880813592,,,49.9,44.4,322.37016,https://doi.org/10.1016/j.dyepig.2019.03.031,csd_HIZROA,7.33423041,7.228019145,-0.710943812,-0.881400648,6.623798988,3.4634,2.2335,0.243797001,0.137585736,0.106211264,0.324662751,0.170456836,0.154205915,-0.716748276,-7.340547264
c1cc2ccc3cc4[nH]ccc4c4ccc(c1)c2c34,18639.0,CCOC(C)=O,384.0,398.0,2.8,0.95,4.571708832,,,34.9,45.5,241.29234,DOI: 10.1021/jo049192x,csd_WAGPAW,6.63391401,6.537492019,-0.250297804,-0.350185711,5.780245588,3.3209,1.9115,0.195190719,0.098768729,0.09642199,0.199099011,0.099887906,0.099211105,-0.541234746,-6.321480334
O=Cc1ccc(-c2cccs2)s1,9417.0,CC#N,350.0,425.0,0.9,0.023,4.339451441,,,55.1,64.5,194.27764,10.1021/jo070100o,csd_WIKCIC,7.938587984,7.711760557,-0.640035802,-0.846962988,6.314133256,3.3516,2.2892,0.401962447,0.175135019,0.226827428,0.370622805,0.206927187,0.163695619,-1.132538468,-7.446671724
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccc(O)cc1)c64)C(=O)N(c1ccc(O)cc1)C5=O,735.0,CN(C)C=O,522.0,534.0,3.9,0.2,4.604657972,,,55.2,57.6,574.54692,doi:10.1016/j.dyepig.2005.03.001,csd_SAGWAY,7.410488998,7.314488811,-2.389764469,-2.554232347,4.848527252,2.4896,1.2791,0.194445589,0.098445403,0.096000187,0.325891346,0.164467879,0.161423467,-2.474060488,-7.32258774
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,7271.0,Cc1ccccc1,447.0,552.0,9.5,0.28,3.850033258,,,100.5,93.7,327.34222,10.1021/jp051035u,csd_IGATIV,6.779769291,6.558774627,-0.773996708,-1.001935449,5.43411658,2.57,1.7081,0.444914009,0.223919345,0.220994664,0.452083941,0.227938741,0.2241452,-1.120565452,-6.554682032
C(#Cc1ccccc1)c1ccccc1,8524.0,ClC(Cl)Cl,299.0,320.0,3.89,0.003,4.41,,,41.7,44.7,178.2334,DOI: 10.1021/ol0528991,csd_CAZYAE,7.650435667,7.531552843,-0.068187306,-0.227163543,6.818360498,4.1846,2.7033,0.237654571,0.118771747,0.118882824,0.318868355,0.158976237,0.159892118,-0.420144016,-7.238504514
N#Cc1cc2ccccc2[nH]1,214.0,O,281.595092,350.0,2.9,,4.482860169,,,34.4,57.1,142.16064,http://dx.doi.org/10.1016/j.cplett.2017.07.038,csd_TECGEO,8.452869458,8.268847086,0.254190912,0.046645972,8.763703484,4.8264,2.803,0.372862249,0.188839878,0.184022372,0.416389741,0.20754494,0.208844801,0.273746684,-8.4899568
N#Cc1ccc(C=C(c2ccccc2)c2ccccc2)cc1,13440.0,C1CCOC1,321.0,390.0,31.0,0.046,,,,57.0,46.7,281.3571,https://doi.org/10.1016/j.dyepig.2016.04.014,csd_KUYCIS,7.606547733,7.415000022,-0.822986861,-1.108991682,6.376175248,3.7084,2.3763,0.394475557,0.202927845,0.191547711,0.542864518,0.286004821,0.256859697,-1.0340332,-7.410208448
O=C1OC(=O)c2ccc(N(c3ccccc3)c3c4ccccc4cc4ccccc34)c3cccc1c23,8588.0,CCCCCC,440.0,514.0,5.4,0.304,,,,82.2,74.4,465.50686,DOI: 10.1021/jp044669u,csd_LERGUL,6.986723688,6.838743197,-1.406445971,-1.574768617,5.472484654,2.7492,1.7163,0.319552178,0.171571687,0.147980491,0.336863254,0.168322645,0.168540609,-1.523022058,-6.995506712
c1cc2ccc3cccc4ccc(c1)c2c34,561.0,CCCCCCC,334.0,373.0,462.0,0.53,4.67,,,,24.5,202.2554,doi:10.1016/j.dyepig.2007.11.003,csd_WOGVIA,7.40015574,7.291645603,-0.241350995,-0.380231015,7.171836584,3.9194,2.0405,0.215501363,0.106991225,0.108510138,0.274986218,0.138880019,0.136106198,-0.229664216,-7.4015008
O=C1OC(=O)c2ccc(N(c3ccccc3)c3ccc4ccccc4c3)c3cccc1c23,8593.0,CCCCCC,446.0,520.0,8.42,0.335,,,,101.3,65.3,415.44698,DOI: 10.1021/jp044669u,csd_LERHAS,7.062714244,6.955859158,-1.417844283,-1.632018137,5.353570836,2.7005,2.0002,0.205219671,0.098364585,0.106855086,0.411649977,0.214173854,0.197476123,-1.626153264,-6.9797241
c1ccc(-c2cc(-c3ccc4ccc5cccc6ccc3c4c56)ccn2)nc1,7511.0,CCCCCC,341.997264,385.000385,8.1,0.48,,,,43.0,39.2,356.42704,10.1021/jp000658z,csd_EWOXOF,7.12151427,7.030680712,-0.69283136,-0.917184455,6.016984768,3.5215,2.0595,0.182633393,0.091799835,0.090833558,0.428153419,0.224353095,0.203800325,-0.875118624,-6.892103392
N#Cc1ccc2cc[nH]c2c1,218.0,O,285.0,375.0,0.6,,4.017033339,,,47.5,66.9,142.16064,http://dx.doi.org/10.1016/j.cplett.2017.07.038,csd_MITQUE,8.446013954,8.233032884,0.358594088,0.176827242,9.197997428,4.8694,2.8393,0.422890408,0.209909338,0.21298107,0.36768792,0.181766846,0.185921074,0.56599712,-8.632000308
O=c1c2ccccc2n2c3ccccc3c(=O)c3cccc1c32,16811.0,Cc1ccccc1,432.9648895,465.7997399,,0.724,4.458395255,,,21.6,31.5,297.31234,DOI: 10.1002/adom.201801536,csd_UKIGAW,7.631904159,7.592972075,-1.108701282,-1.186615139,6.016984768,3.1355,2.548,0.081665439,0.042733354,0.038932085,0.155719277,0.077913857,0.07780542,-1.382611234,-7.399596002
O=C1c2ccccc2-c2ccccc21,2959.0,C1CCCCC1,382.0,463.0,0.4,0.0004,2.477121255,,,,118.8,180.20552,DOI: 10.1039/c4cp01724b,csd_FLURON01,8.260451961,8.131122055,-0.800383956,-0.96270891,6.502980372,2.934,2.434,0.259152258,0.129822351,0.129329907,0.326664802,0.162324954,0.164339849,-1.294990526,-7.797970898
O=c1c2ccccc2nc2ccccn12,13303.0,ClCCl,354.0,442.0,,0.96,5.190331698,,,59.0,85.2,196.20852,https://doi.org/10.1016/j.cplett.2018.08.017,csd_WAGDIU,7.526809542,7.40706028,-0.410105023,-0.589777734,6.253451834,3.3912,2.255,0.244241064,0.124491801,0.119749262,0.380932361,0.179672711,0.201259651,-0.84083226,-7.094284094
N#Cc1ccc2[nH]ccc2c1,217.0,O,275.0,390.0,0.3,,3.740362689,,,48.5,62.0,142.16064,http://dx.doi.org/10.1016/j.cplett.2017.07.038,csd_PEDDOT,8.422613293,8.217975809,0.595547884,0.42918933,9.061668314,4.8331,3.0662,0.416131532,0.211494049,0.204637483,0.339392527,0.166358554,0.173033973,0.643277496,-8.418390818
N#Cc1cc(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)cc1C#N,1978.0,Cc1ccccc1,375.0,473.0,28.5,0.465,4.056904851,,,,85.0,458.52292,"doi:10.1038/nature11687, DOI: 10.1021/acsami.8b11136, DOI: 10.1021/acs.joc.5b01496",csd_YEJLEH01,7.44719636,7.388430076,-1.377861756,-1.576919406,5.818613662,3.1306,2.6609,0.146013651,0.087247368,0.058766284,0.411080443,0.19905765,0.212022793,-1.574451604,-7.393065266
c1ccc2ccccc2c1,98.0,C1CCCCC1,286.0,324.0,96.0,0.23,3.58,,,,32.9,128.17352,https://doi.org/10.3390/molecules17055108,csd_CAKRUB11,7.983588973,7.899605259,0.455175864,0.335855153,7.290206174,4.382,2.7529,0.167768077,0.083784363,0.083983714,0.236579041,0.11932071,0.117258331,-0.096872584,-7.387078758
O=C1c2cc(-c3ccccc3)ccc2-c2ccc(-c3ccccc3)cc21,14333.0,C1CCOC1,337.0,360.0,1.0,0.01,,,,98.7,83.1,332.40104,https://doi.org/10.1016/j.dyepig.2016.02.023,csd_IBENOV01,7.488299179,7.323038633,-1.094982382,-1.258970796,5.963106196,2.9154,2.2965,0.323064897,0.157804351,0.165260547,0.329240253,0.163988414,0.165251839,-1.344787388,-7.307893584
O=C(O)c1cc2c(ccc3ccccc32)oc1=O,5104.0,C1COCCO1,372.0,428.0,13.3,0.53,4.219060332,,4268.4,,,240.21352,doi:10.1016/j.jphotochem.2006.02.028,csd_KABFUQ,8.077420357,7.98251698,-1.140759522,-1.342548679,6.184062764,3.3548,2.2409,0.193525735,0.098622359,0.094903377,0.398861681,0.201789157,0.197072524,-1.503157736,-7.6872205
C#Cc1ccc2ccc3cccc4ccc1c2c34,7481.0,C1CCCCC1,357.0,383.0,14.9,0.16,,,,25.0,30.0,226.2774,DOI: 10.1021/acs.jpca.8b09689,csd_NAMYUV01,7.166913634,7.090836491,-0.678572015,-0.783172963,5.873852804,3.4495,1.9458,0.152310097,0.076232955,0.076077142,0.207949437,0.104600948,0.103348489,-0.977161374,-6.851014178
c1ccc(-c2nnc(-c3cc(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)cc3-c3nnc(-c4ccccc4)o3)o2)cc1,6505.0,ClCCl,361.0,500.5191128,15.6,0.383,4.326335861,,,,103.2,696.76832,DOI: 10.1021/acsami.8b11136,csd_ZOFNUG,7.028883671,6.970512769,-1.3047635,-1.538805758,5.766367774,3.232,2.622,0.12135332,0.062982418,0.058370902,0.440958016,0.234042258,0.206915758,-1.271860836,-7.03822861
c1ccc(-c2ccc3c4ccc(-c5ccccc5)c5c(-c6ccccc6)ccc(c6cccc2c63)c54)cc1,4772.0,ClCCl,473.0,500.0,,0.94,4.568201724,,,64.3,53.3,480.60856,http://dx.doi.org/10.1016/j.tet.2013.01.037,csd_GIJROI,6.390102043,6.281922305,-1.157977317,-1.277420941,5.156016072,2.6772,1.4715,0.215755381,0.107575644,0.108179737,0.236258627,0.119443624,0.116815003,-1.190226636,-6.346242708
c1ccc(-c2pc3ccccc3s2)cc1,7436.0,CC#N,330.0,443.0,,0.044,4.565847819,,,64.7,114.9,228.25446,http://dx.doi.org/10.1021/jo400947u,csd_ZUVMIO,7.527945373,7.354344532,-0.468141388,-0.711529129,6.406107788,3.7045,2.1825,0.32592155,0.15232071,0.173600841,0.38758612,0.243387741,0.144198379,-0.777157584,-7.183265372
C(#Cc1c(C#Cc2cccs2)c(C#Cc2cccs2)c(C#Cc2cccs2)c(C#Cc2cccs2)c1C#Cc1cccs1)c1cccs1,12235.0,ClCCl,371.0,453.0,,0.27,5.021189299,,,50.4,68.4,715.00092,DOI: 10.1021/ol2000183,csd_LUPFAF,7.578159658,7.347263038,-1.283988413,-1.464290061,7.780283488,3.7096,0.6672,0.480429512,0.249532892,0.23089662,0.362336934,0.180301648,0.182035286,-0.477832184,-8.258115672
