PSMILES,Eat,Eea,Egb,Egc,Ei,Xc,eps,nc
C(=O)([*])C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C2(C1=CC=CC=C1C(=O)O2)C1=CC=C(C=C1)O([*]),,,,3.8358,,,,
C(=O)([*])C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(C=C1)O([*]),,,,3.2146,,,,
C(=O)([*])C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(C=C1)O([*]),,,,3.3925,,,,
C13C(C=[*])OC(C=[*])C1C(=O)N(C2=CC=C(C(F)(F)F)C=C2)C3=O,,,,5.369,,,,
C13C(C=[*])OC(C=[*])C1C(=O)N(C2=CC=CC(C(F)(F)F)=C2)C3=O,,,,5.0879,,,,
C13C(C=[*])OC(C=[*])C1C(=O)N(C2=CC=CC=C2)C3=O,,,,5.3284,,,,
C23C(C(=O)N(C1=CC=CC=C1C(F)(F)F)C2=O)C(C=[*])OC3C=[*],,,,5.2302,,,,
O([*])c1ccc(cc1)C(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NC(=O)c1ccc(cc1)([*]),,,,3.8301,,,,
[*]/C=C\C(C#N)C[*],,,,5.3057,,,,
[*]=CC2CC(C=[*])C3CN(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)CC23,,,,4.3204,,,,
[*]=CC2OC(C=[*])C3C(=O)N(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(=O)C23,,,,5.0857,,,,
[*]C#CC#CCCCCCCCC[*],,,,5.4216,,,,
[*]C#CC#Cc1cc2sc([*])cc2s1,,,,1.7355,,,,
[*]C#CC#Cc1ccc(-c2ccc([*])s2)s1,,,,1.5899,,,,
[*]C#CC#Cc1ccc([*])cc1,,,,2.0489,,,,
[*]C#CC#Cc1ccc([*])s1,,,,1.5604,,,,
[*]C#CC(=C([*])c1ccccc1)c1ccccc1,,,,0.8829,,,,
[*]C#CC(=C([*])c1cnc2ccccc2c1)c1cnc2ccccc2c1,,,0.5725,0.7739,,,,
[*]C#CC(CCCCOC(=O)NCC(=O)OCCCC)=C([*])c1cncnc1,,,,3.2132,,,,
[*]C#CC(CO)=C([*])n1c2ccccc2c2ccccc21,,,,1.5113,,,,
[*]C#CC=C[*],,,,1.1342,,,,
[*]C#Cc1c(F)c(F)c(C#Cc2cc(CCCCCC)c([*])s2)c(F)c1F,,,,2.8156,,,,
[*]C#Cc1cc(CCCCCC)c([*])s1,,,,1.5751,,,,
[*]C#Cc1cc(OCC(CC)CCCC)c(C#Cc2cc(OCCNCCCC)c([*])cc2OCCNCCCC)cc1OCC(CC)CCCC,,,,2.9566,,,,
[*]C#Cc1cc(OCCCCCC)c(C#Cc2ccc3c(-c4c(O)ccc5cc([*])ccc45)c(O)ccc3c2)cc1OCCCCCC,,,,3.0868,,,,
[*]C#Cc1cc(OCCCCCCCC)c(C#Cc2ccc([*])s2)cc1OCCCCCCCC,,,,2.283,,,,
[*]C#Cc1ccc([*])c(SCCCCCCCCCCCC)c1,,,,3.7364,,,,
[*]C#Cc1ccc([*])s1,,,,1.6499,,,,
[*]C#Cc1sc(-c2sc([*])c3c2OCCO3)c2c1OCCO2,,,,1.7209,,,,
[*]C(=NCCCCCC)N([*])CCCCCC,,,,4.3588,,,,
[*]C(=O)C(=S)C(=O)O[*],-6.47,5.1004,1.4341,2.3358,7.4364,,,
[*]C(=O)C(=S)OC(=S)[*],-5.98,,1.4146,2.6385,,,6.46,2.3004
[*]C(=O)C(C)NC(=O)CNC(=O)C1CCCN1[*],,,,5.7716,,,,
[*]C(=O)C(C=C1)=CC=C1C(=O)C(=S)[*],-6.42,3.783,1.6753,2.994,6.7765,,5.0,2.0994
[*]C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],-6.51,2.1866,2.9556,4.2825,6.4709,,4.54,1.9846
[*]C(=O)C(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.45,3.6543,2.4807,3.618,7.268,,4.76,2.003
[*]C(=O)C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],-6.38,2.9183,,2.9419,5.8604,,4.98,2.1209
[*]C(=O)C(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],-6.31,3.9759,,2.3711,6.3469,,5.13,2.1236
[*]C(=O)C(C=C1)=CC=C1C(=S)O[*],-6.35,3.4955,2.5144,3.2688,6.7625,,5.24,2.0397
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.37,3.6994,2.0643,2.4596,6.1599,,5.49,2.2139
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],-6.42,2.6442,2.5479,3.3319,5.9803,,4.43,2.0217
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.38,3.0595,,2.8474,5.9085,,6.15,2.3607
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.3,3.8058,,2.3592,6.162,,5.75,2.244
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],-6.38,2.8757,1.7624,2.9694,5.8483,,5.86,2.2925
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.31,2.775,,2.7359,5.5122,,5.1,2.1519
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2O[*],-6.35,2.3086,2.7538,3.7187,6.028,,4.73,1.9796
[*]C(=O)C(C=C1)=CC=C1OC(=S)[*],-6.3,3.2631,2.0547,3.5119,6.7719,,5.05,2.0762
[*]C(=O)C(C=C1)=CC=C1OC(S2)=CC=C2[*],-6.33,2.5289,3.0776,3.6478,6.1761,,4.79,2.0027
[*]C(=O)C(NC(=O)C1CCCN1C(=O)C1CCCN1[*])c1ccccc1,,,,5.0377,,,,
[*]C(=O)C(O)c1ccc([*])s1,,,,4.0132,,,,
[*]C(=O)C(S1)=CC=C1C(=O)C(=S)[*],-6.33,4.6396,1.1902,2.2094,6.8471,,6.61,2.3542
[*]C(=O)C(S1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.37,4.0693,1.863,2.966,7.0438,,7.04,2.0879
[*]C(=O)C(S1)=CC=C1C(=O)O[*],-6.49,3.3779,3.202,3.9821,7.3658,,4.57,1.8811
[*]C(=O)C(S1)=CC=C1C(=S)C(S2)=CC=C2[*],-6.19,4.1286,,2.0759,6.205,,6.22,2.2975
[*]C(=O)C(S1)=CC=C1C(=S)O[*],-6.21,4.037,2.3663,2.753,6.7886,,5.45,2.068
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.29,3.7335,1.9265,2.3241,6.0589,,5.9,2.2782
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.34,3.2278,1.5224,2.5282,5.7571,,7.44,2.5812
