index,PSMILES,Eat,Eea,Egb,Egc,Ei,Xc,eps,nc
0.0,C(=O)([*])C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C2(C1=CC=CC=C1C(=O)O2)C1=CC=C(C=C1)O([*]),,,,3.8358,,,,
1.0,C(=O)([*])C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(C=C1)O([*]),,,,3.2146,,,,
2.0,C(=O)([*])C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(C=C1)O([*]),,,,3.3925,,,,
3.0,C13C(C=[*])OC(C=[*])C1C(=O)N(C2=CC=C(C(F)(F)F)C=C2)C3=O,,,,5.369,,,,
4.0,C13C(C=[*])OC(C=[*])C1C(=O)N(C2=CC=CC(C(F)(F)F)=C2)C3=O,,,,5.0879,,,,
5.0,C13C(C=[*])OC(C=[*])C1C(=O)N(C2=CC=CC=C2)C3=O,,,,5.3284,,,,
6.0,C23C(C(=O)N(C1=CC=CC=C1C(F)(F)F)C2=O)C(C=[*])OC3C=[*],,,,5.2302,,,,
7.0,O([*])c1ccc(cc1)C(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NC(=O)c1ccc(cc1)([*]),,,,3.8301,,,,
8.0,[*]/C=C\C(C#N)C[*],,,,5.3057,,,,
9.0,[*]=CC2CC(C=[*])C3CN(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)CC23,,,,4.3204,,,,
10.0,[*]=CC2OC(C=[*])C3C(=O)N(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(=O)C23,,,,5.0857,,,,
11.0,[*]C#CC#CCCCCCCCC[*],,,,5.4216,,,,
12.0,[*]C#CC#Cc1cc2sc([*])cc2s1,,,,1.7355,,,,
13.0,[*]C#CC#Cc1ccc(-c2ccc([*])s2)s1,,,,1.5899,,,,
14.0,[*]C#CC#Cc1ccc([*])cc1,,,,2.0489,,,,
15.0,[*]C#CC#Cc1ccc([*])s1,,,,1.5604,,,,
16.0,[*]C#CC(=C([*])c1ccccc1)c1ccccc1,,,,0.8829,,,,
17.0,[*]C#CC(=C([*])c1cnc2ccccc2c1)c1cnc2ccccc2c1,,,0.5725,0.7739,,,,
18.0,[*]C#CC(CCCCOC(=O)NCC(=O)OCCCC)=C([*])c1cncnc1,,,,3.2132,,,,
19.0,[*]C#CC(CO)=C([*])n1c2ccccc2c2ccccc21,,,,1.5113,,,,
20.0,[*]C#CC=C[*],,,,1.1342,,,,
21.0,[*]C#Cc1c(F)c(F)c(C#Cc2cc(CCCCCC)c([*])s2)c(F)c1F,,,,2.8156,,,,
22.0,[*]C#Cc1cc(CCCCCC)c([*])s1,,,,1.5751,,,,
23.0,[*]C#Cc1cc(OCC(CC)CCCC)c(C#Cc2cc(OCCNCCCC)c([*])cc2OCCNCCCC)cc1OCC(CC)CCCC,,,,2.9566,,,,
24.0,[*]C#Cc1cc(OCCCCCC)c(C#Cc2ccc3c(-c4c(O)ccc5cc([*])ccc45)c(O)ccc3c2)cc1OCCCCCC,,,,3.0868,,,,
25.0,[*]C#Cc1cc(OCCCCCCCC)c(C#Cc2ccc([*])s2)cc1OCCCCCCCC,,,,2.283,,,,
26.0,[*]C#Cc1ccc([*])c(SCCCCCCCCCCCC)c1,,,,3.7364,,,,
27.0,[*]C#Cc1ccc([*])s1,,,,1.6499,,,,
28.0,[*]C#Cc1sc(-c2sc([*])c3c2OCCO3)c2c1OCCO2,,,,1.7209,,,,
29.0,[*]C(=NCCCCCC)N([*])CCCCCC,,,,4.3588,,,,
30.0,[*]C(=O)C(=S)C(=O)O[*],-6.47,5.1004,1.4341,2.3358,7.4364,,,
31.0,[*]C(=O)C(=S)OC(=S)[*],-5.98,,1.4146,2.6385,,,6.46,2.3004
32.0,[*]C(=O)C(C)NC(=O)CNC(=O)C1CCCN1[*],,,,5.7716,,,,
33.0,[*]C(=O)C(C=C1)=CC=C1C(=O)C(=S)[*],-6.42,3.783,1.6753,2.994,6.7765,,5.0,2.0994
34.0,[*]C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],-6.51,2.1866,2.9556,4.2825,6.4709,,4.54,1.9846
