,smis.uni
0,*C(C(O)C1(O))C(CO)OC1O*
1,*CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)*
2,*CC(C)CC(C)CC(C)*
3,*C(F)C(F)(F)*
4,*C(S1)=CC=C1C(S2)=CC=C2*
5,*C(OC1=C2)=NC1=CC=C2C(=NC3=C4)OC3=CC=C4*
6,*C(C(F)(F)(F))OCC(C(F)(F)(F))OC*
7,*CCCCCOC(=O)CCCCCOC(=O)*
8,*CCC(C(F)(F)(F))(C(F)(F)(F))OCCC(C(F)(F)(F))(C(F)(F)(F))O*
9,*CCCCC(=O)OCCOC(=O)*
10,*CCOCCO*
11,*CCOC(=O)CCCCCCC(=O)O*
12,*CC(=O)OCC(=O)O*
13,*COCO*
14,*C(C=C1)=CC=C1SC(C=C2)=CC=C2S*
15,*CCCCCS*
16,*CC(C=C1)=CC=C1C*
17,*CCC(F)(F)C(F)(F)*
18,*C(C=C1)=CC=C1C(=O)OCCCCOC(=O)*
19,*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)*
20,*CC(F)CC(F)*
21,*CC(F)(F)CC(F)(F)*
22,*CC(C)CC(C)CC(C)CC(C)*
23,*C(C=C1)=CC=C1C(=O)OCCOC(=O)*
24,*CC(C1=CC=CC=N1)CC(C2=CC=CC=N2)CC(C3=CC=CC=N3)*
25,*CC(=O)NCC(=O)N*
26,*NC(=O)C(=C1)C=CC=C1NC(=O)C(=C2)C=CC=C2*
27,*C(=CC=C1)N=C1C(=CC=C2)N=C2*
28,*C(=NC1=C2)OC1=CC(O3)=C2N=C3C(C=C4)=CC=C4*
29,*C(S1)=CC=C1*
30,*C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(=S)*
31,*C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O*
32,*C(S1)=CC=C1C(S2)=CC=C2OC(=S)*
33,*C(S1)=CC=C1C(=S)C(S2)=CC=C2O*
34,*C(S1)=CC=C1C(=S)OC(=S)*
35,*C(S1)=CC=C1OC(S2)=CC=C2O*
36,*C(S1)=CC=C1OC(=S)O*
37,*C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4*
38,*C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O*
39,*C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4*
40,*C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(=S)*
41,*C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3O*
42,*C(C=C1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3*
43,*C(C=C1)=CC=C1C(S2)=CC=C2OC(S3)=CC=C3*
44,*C(C=C1)=CC=C1C(S2)=CC=C2OC(=S)*
45,*C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4*
46,*C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(=S)*
47,*C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3O*
48,*C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4*
49,*C(C=C1)=CC=C1*
50,*C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(=S)*
51,*C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3O*
52,*C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)O*
53,*C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(S3)=CC=C3*
54,*C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(=S)*
55,*C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O*
56,*C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2C(=S)*
57,*C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2O*
58,*C(C=C1)=CC=C1C(=S)OC(=S)*
59,*C(C=C1)=CC=C1OC(S2)=CC=C2O*
60,*C(C=C1)=CC=C1OC(=S)C(S2)=CC=C2*
61,*C(C=C1)=CC=C1OC(=S)O*
62,*CC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3*
63,*CC(S1)=CC=C1C(S2)=CC=C2C(=S)*
64,*CC(S1)=CC=C1C(S2)=CC=C2O*
65,*CC(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3*
66,*CC(S1)=CC=C1C(C=C2)=CC=C2C(=S)*
67,*CC(S1)=CC=C1C(C=C2)=CC=C2O*
68,*CC(S1)=CC=C1CC(S2)=CC=C2*
69,*CC(S1)=CC=C1CC(=S)*
70,*CC(S1)=CC=C1CO*
71,*CC(S1)=CC=C1C(=O)C(S2)=CC=C2*
72,*CC(S1)=CC=C1C(=O)C(=S)*
73,*CC(S1)=CC=C1C(=O)O*
74,*CC(S1)=CC=C1C(=S)C(S2)=CC=C2*
75,*CC(S1)=CC=C1C(=S)O*
76,*CC(S1)=CC=C1NC(S2)=CC=C2*
77,*CC(S1)=CC=C1NC(=S)*
78,*CC(S1)=CC=C1NO*
79,*CC(S1)=CC=C1OC(S2)=CC=C2*
80,*CC(S1)=CC=C1OC(=S)*
81,*CC(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3*
82,*CC(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3*
83,*CC(C=C1)=CC=C1C(S2)=CC=C2C(=S)*
84,*CC(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3*
85,*CC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3*
86,*CC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)*
87,*CC(C=C1)=CC=C1CC(S2)=CC=C2*
88,*CC(C=C1)=CC=C1CC(C=C2)=CC=C2*
89,*CC(C=C1)=CC=C1CC(=S)*
90,*CC(C=C1)=CC=C1CO*
91,*CC(C=C1)=CC=C1C(=O)C(S2)=CC=C2*
92,*CC(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2*
93,*CC(C=C1)=CC=C1C(=O)C(=S)*
94,*CC(C=C1)=CC=C1C(=O)O*
95,*CC(C=C1)=CC=C1C(=S)C2=CC=C(S2)*
96,*CC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2*
97,*CC(C=C1)=CC=C1C(=S)O*
98,*CC(C=C1)=CC=C1NC2=CC=C(S2)*
99,*CC(C=C1)=CC=C1NC(C=C2)=CC=C2*
100,*CC(C=C1)=CC=C1NC(=S)*
101,*CC(C=C1)=CC=C1NO*
102,*CC(C=C1)=CC=C1OC2=CC=C(S2)*
103,*CC(C=C1)=CC=C1OC(C=C2)=CC=C2*
104,*CC(C=C1)=CC=C1OC(=S)*
105,*CCC1=CC=C(S1)C2=CC=C(S2)*
106,*CCC1=CC=C(S1)C(=S)*
107,*CCC1=CC=C(S1)O*
108,*CCC(C=C1)=CC=C1C2=CC=C(S2)*
109,*CCC(C=C1)=CC=C1C(C=C2)=CC=C2*
110,*CCC(C=C1)=CC=C1C(=S)*
111,*CCC(C=C1)=CC=C1O*
112,*CCCC1=CC=C(S1)*
113,*CCCC(C=C1)=CC=C1*
114,*CCCC*
115,*CCCC(=O)*
116,*CCCC(=S)*
117,*CCCN*
118,*CCCO*
119,*CCC(=O)C1=CC=C(S1)*
120,*CCC(=O)C(C=C1)=CC=C1*
121,*CCC(=O)C(=S)*
122,*CCC(=O)O*
123,*CCC(=S)O*
124,*CCNC1=CC=C(S1)*
125,*CCNC(C=C1)=CC=C1*
126,*CCNC(=S)*
127,*CCON*
128,*CC(=O)C1=CC=C(S1)C2=CC=C(S2)*
129,*CC(=O)C1=CC=C(S1)C(C=C2)=CC=C2*
130,*CC(=O)C1=CC=C(S1)C(=O)*
131,*CC(=O)C1=CC=C(S1)C(=S)*
132,*CC(=O)C1=CC=C(S1)O*
133,*CC(=O)C(C=C1)=CC=C1C2=CC=C(S2)*
134,*CC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2*
135,*CC(=O)C(C=C1)=CC=C1C(=O)*
136,*CC(=O)C(C=C1)=CC=C1C(=S)*
137,*CC(=O)C(C=C1)=CC=C1O*
138,*CC(=O)CC1=CC=C(S1)*
139,*CC(=O)CC(C=C1)=CC=C1*
140,*CC(=O)CC(=O)*
141,*CC(=O)CC(=S)*
142,*CC(=O)CO*
143,*CC(=O)C(=S)C1=CC=C(S1)*
144,*CC(=O)C(=S)C(C=C1)=CC=C1*
145,*CC(=O)C(=S)C(=O)*
146,*CC(=O)C(=S)O*
147,*CC(=O)NC1=CC=C(S1)*
148,*CC(=O)NC(C=C1)=CC=C1*
149,*CC(=O)NC(=O)*
150,*CC(=O)NC(=S)*
151,*CC(=O)OC1=CC=C(S1)*
152,*CC(=O)OC(C=C1)=CC=C1*
153,*CC(=O)OC(=O)*
154,*CC(=O)OC(=S)*
155,*CC(=S)C1=CC=C(S1)C(=S)*
156,*CC(=S)C1=CC=C(S1)O*
157,*CC(=S)C(C=C1)=CC=C1C(=S)*
158,*CC(=S)C(C=C1)=CC=C1N*
159,*CC(=S)C(C=C1)=CC=C1O*
160,*CC(=S)CC(=S)*
161,*CC(=S)CO*
162,*CC(=S)C(=O)C(=S)*
163,*CC(=S)C(=O)O*
164,*CC(=S)NC(=S)*
165,*CC(=S)NO*
166,*CC(=S)OC(=S)*
167,*CNC1=CC=C(S1)C(C=C2)=CC=C2*
168,*CNC1=CC=C(S1)C(=O)*
169,*CNC1=CC=C(S1)C(=S)*
170,*CNC1=CC=C(S1)N*
171,*CNC1=CC=C(S1)O*
172,*CNC(C=C1)=CC=C1C2=CC=C(S2)*
173,*CNC(C=C1)=CC=C1N*
174,*CNC(C=C1)=CC=C1O*
175,*CNCC1=CC=C(S1)*
176,*CNCC(C=C1)=CC=C1*
177,*CNCC(=O)*
178,*CNCC(=S)*
179,*CNCN*
180,*CNCO*
181,*CNC(=O)C1=CC=C(S1)*
182,*CNC(=O)C(C=C1)=CC=C1*
183,*CNC(=O)C(=S)*
184,*CNC(=S)C1=CC=C(S1)*
185,*CNC(=S)C(C=C1)=CC=C1*
186,*CNC(=S)C(=O)*
187,*CNC(=S)N*
188,*CNC(=S)O*
189,*CNOC1=CC=C(S1)*
190,*CNOC(C=C1)=CC=C1*
191,*CNOC(=S)*
192,*CNON*
193,*COC1=CC=C(S1)C(C=C2)=CC=C2*
194,*COC1=CC=C(S1)O*
195,*COC(C=C1)=CC=C1O*
196,*COC(=O)O*
197,*COC(=S)O*
198,*CONC(=O)*
199,*CONO*
200,*C(=O)C1=CC=C(S1)C2=CC=C(S2)C3=CC=C(S3)*
201,*C(=O)C1=CC=C(S1)C2=CC=C(S2)C(=S)*
202,*C(=O)C1=CC=C(S1)C2=CC=C(S2)O*
203,*C(=O)C1=CC=C(S1)C(C=C2)=CC=C2C3=CC=C(S3)*
204,*C(=O)C1=CC=C(S1)C(C=C2)=CC=C2C(=S)*
205,*C(=O)C1=CC=C(S1)C(C=C2)=CC=C2O*
206,*C(=O)C1=CC=C(S1)C(=O)C2=CC=C(S2)*
207,*C(=O)C1=CC=C(S1)C(=O)C(=S)*
208,*C(=O)C1=CC=C(S1)C(=O)O*
209,*C(=O)C1=CC=C(S1)C(=S)C2=CC=C(S2)*
210,*C(=O)C1=CC=C(S1)C(=S)O*
211,*C(=O)C1=CC=C(S1)OC2=CC=C(S2)*
212,*C(=O)C1=CC=C(S1)OC(=S)*
213,*C(=O)C(C=C1)=CC=C1C2=CC=C(S2)C3=CC=C(S3)*
214,*C(=O)C(C=C1)=CC=C1C2=CC=C(S2)C(C=C3)=CC=C3*
215,*C(=O)C(C=C1)=CC=C1C2=CC=C(S2)C(=S)*
216,*C(=O)C(C=C1)=CC=C1C2=CC=C(S2)O*
217,*C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C3=CC=C(S3)*
218,*C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3*
219,*C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)*
220,*C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2O*
221,*C(=O)C(C=C1)=CC=C1C(=O)C2=CC=C(S2)*
222,*C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2*
223,*C(=O)C(C=C1)=CC=C1C(=O)C(=S)*
224,*C(=O)C(C=C1)=CC=C1C(=O)O*
225,*C(=O)C(C=C1)=CC=C1C(=S)C2=CC=C(S2)*
226,*C(=O)C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2*
227,*C(=O)C(C=C1)=CC=C1C(=S)O*
228,*C(=O)C(C=C1)=CC=C1OC2=CC=C(S2)*
229,*C(=O)C(C=C1)=CC=C1OC(C=C2)=CC=C2*
230,*C(=O)C(C=C1)=CC=C1OC(=S)*
231,*C(=O)C(=S)OC(=S)*
232,*C(=O)OC1=CC=C(S1)C(=S)*
233,*C(=O)OC1=CC=C(S1)O*
