PSMILES,Eat,Eea,Egb,Egc,Ei,Xc,eps,nc
C(=O)([*])C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C2(C1=CC=CC=C1C(=O)O2)C1=CC=C(C=C1)O([*]),0.0,0.0,0.0,3.8358,0.0,0.0,0.0,0.0
C(=O)([*])C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(C=C1)O([*]),0.0,0.0,0.0,3.2146,0.0,0.0,0.0,0.0
C(=O)([*])C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(C=C1)O([*]),0.0,0.0,0.0,3.3925,0.0,0.0,0.0,0.0
C13C(C=[*])OC(C=[*])C1C(=O)N(C2=CC=C(C(F)(F)F)C=C2)C3=O,0.0,0.0,0.0,5.369,0.0,0.0,0.0,0.0
C13C(C=[*])OC(C=[*])C1C(=O)N(C2=CC=CC(C(F)(F)F)=C2)C3=O,0.0,0.0,0.0,5.0879,0.0,0.0,0.0,0.0
C13C(C=[*])OC(C=[*])C1C(=O)N(C2=CC=CC=C2)C3=O,0.0,0.0,0.0,5.3284,0.0,0.0,0.0,0.0
C23C(C(=O)N(C1=CC=CC=C1C(F)(F)F)C2=O)C(C=[*])OC3C=[*],0.0,0.0,0.0,5.2302,0.0,0.0,0.0,0.0
O([*])c1ccc(cc1)C(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NC(=O)c1ccc(cc1)([*]),0.0,0.0,0.0,3.8301,0.0,0.0,0.0,0.0
[*]/C=C\C(C#N)C[*],0.0,0.0,0.0,5.3057,0.0,0.0,0.0,0.0
[*]=CC2CC(C=[*])C3CN(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)CC23,0.0,0.0,0.0,4.3204,0.0,0.0,0.0,0.0
[*]=CC2OC(C=[*])C3C(=O)N(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(=O)C23,0.0,0.0,0.0,5.0857,0.0,0.0,0.0,0.0
[*]C#CC#CCCCCCCCC[*],0.0,0.0,0.0,5.4216,0.0,0.0,0.0,0.0
[*]C#CC#Cc1cc2sc([*])cc2s1,0.0,0.0,0.0,1.7355,0.0,0.0,0.0,0.0
[*]C#CC#Cc1ccc(-c2ccc([*])s2)s1,0.0,0.0,0.0,1.5899,0.0,0.0,0.0,0.0
[*]C#CC#Cc1ccc([*])cc1,0.0,0.0,0.0,2.0489,0.0,0.0,0.0,0.0
[*]C#CC#Cc1ccc([*])s1,0.0,0.0,0.0,1.5604,0.0,0.0,0.0,0.0
[*]C#CC(=C([*])c1ccccc1)c1ccccc1,0.0,0.0,0.0,0.8829,0.0,0.0,0.0,0.0
[*]C#CC(=C([*])c1cnc2ccccc2c1)c1cnc2ccccc2c1,0.0,0.0,0.5725,0.7739,0.0,0.0,0.0,0.0
[*]C#CC(CCCCOC(=O)NCC(=O)OCCCC)=C([*])c1cncnc1,0.0,0.0,0.0,3.2132,0.0,0.0,0.0,0.0
[*]C#CC(CO)=C([*])n1c2ccccc2c2ccccc21,0.0,0.0,0.0,1.5113,0.0,0.0,0.0,0.0
[*]C#CC=C[*],0.0,0.0,0.0,1.1342,0.0,0.0,0.0,0.0
[*]C#Cc1c(F)c(F)c(C#Cc2cc(CCCCCC)c([*])s2)c(F)c1F,0.0,0.0,0.0,2.8156,0.0,0.0,0.0,0.0
[*]C#Cc1cc(CCCCCC)c([*])s1,0.0,0.0,0.0,1.5751,0.0,0.0,0.0,0.0
[*]C#Cc1cc(OCC(CC)CCCC)c(C#Cc2cc(OCCNCCCC)c([*])cc2OCCNCCCC)cc1OCC(CC)CCCC,0.0,0.0,0.0,2.9566,0.0,0.0,0.0,0.0
[*]C#Cc1cc(OCCCCCC)c(C#Cc2ccc3c(-c4c(O)ccc5cc([*])ccc45)c(O)ccc3c2)cc1OCCCCCC,0.0,0.0,0.0,3.0868,0.0,0.0,0.0,0.0
[*]C#Cc1cc(OCCCCCCCC)c(C#Cc2ccc([*])s2)cc1OCCCCCCCC,0.0,0.0,0.0,2.283,0.0,0.0,0.0,0.0
